,count,hate_speech,offensive_language,neither,class,tweet
8285,3,0,3,0,1,Bitches always think somebody want them or they little coochie lol chilling dont exist nomore ? Iont want yall hoes
19517,3,0,3,0,1,RT @hiiphop: I still ain't got the time for a bitch to be acting iffy &#128073;&#128073;&#128073;
22439,3,0,3,0,1,This bitch is really geeking in my messages &#128514;&#128514;&#128514;
691,3,0,2,1,1,#Bout2GoCrazy #AintNoLevelz2DisShit hungrier then a phat ho on a diet IG http://t.co/nzuBUC2QpR
13083,3,0,2,1,1,Marcus Colston so damn trash.
6800,3,0,3,0,1,"@mackgotti thats that "" never call a bitch again "" shit"
554,3,0,3,0,1,"""SORRY JB FAN&#65292;REALLY JUSTIN COME BACK"". That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!"
12041,3,0,3,0,1,Im not tongue kissing these bitches tho
242,3,0,1,2,2,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
24231,6,1,5,0,1,damn bitch lmao
23435,3,0,3,0,1,"Wiz need to go back to the ""yeahhhhhhh bitch"" ""OKKKK"" wiz"
10575,3,0,3,0,1,"I fell in love wit my side bitch, crazy thing she wasnt even my bitch"
5941,3,1,2,0,1,@crocodile_Craig bitch y u ain't come to school
24456,3,0,3,0,1,http://t.co/bPU86qzYFt Ioana &#8211; Tiny teen Ioana fucks her tender pussy with a&#160;vibrator http://t.co/bRzLCfy7xE
8632,3,3,0,0,0,Ceasefire?Let's see how long those towel heads can go without trying to attack Israel then cry to national media when they get popped again
2176,3,0,0,3,2,"'Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry http://t.co/vltSpK8U4S"
21886,3,0,2,1,1,That pussy crying for help
17912,6,0,6,0,1,RT @TAXSTONE: Y'all bitches got to learn the difference between like and love
20829,3,0,3,0,1,RT @xofantasybby: A mexican bitch better win the crown! #NuestraBellezaLatina
15183,3,1,2,0,1,RT @CurrenSy_Spitta: Fuckin hoe ass Click it or ticket.....25 dollars n shit
24035,3,0,3,0,1,ain't no bitch got shit on me
16457,3,0,0,3,2,RT @KxRxSxB: Sometimes I turn my phone on loud to tweet just to hear the bird chirp. #TrueStory #TeamiPhone
5070,3,1,2,0,1,@TheJadedNYer nope! btw you's a hoe lol
2307,3,2,1,0,0,5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;
22089,3,0,3,0,1,The undesirables RT @KingHorseDick: @viaNAWF &#128557;&#128557;&#128557;&#128557;&#128557; these bitches big bruh
1349,3,0,0,3,2,&#8220;@ImToBlame: Bruh RT @PriscoCBS: Trent took the yellow path http://t.co/1XxGuKtjp8&#8221;&#128514;&#128514;&#128514;&#128514;
19757,3,1,2,0,1,RT @jaxx_staxx: &#8220;@baranosky_: 1 day down 39 more days with out pot #lent&#8221;your a faggot
4033,3,0,0,3,2,@LifeAsKing I've only like about 3 pair..they're overpriced trash ..
16500,3,0,1,2,2,RT @LadyMercia: Mother of Manchester 'terror twins' who went to Syria to become Jihadi brides snatched by ISIS ... http://t.co/trhNMdVnCM v&#8230;
1124,3,1,2,0,1,&#8220;@Alondra_Lu: Ain't that a bitch&#8221;
15196,3,0,1,2,2,RT @CyFyre: @WesOrrJames love you too my nig #squad
5234,3,0,3,0,1,@VRTWxrk_Flash @yungchipotle young based god in Olympics stay fuckin bitches
13003,3,2,1,0,0,"Lynch mob thugs threaten Zimmerman jury; &#8216;N*ggas coming for that bitch ass&#160;jury&#8217; http://t.co/XY6v2YtyAS The hatred won't stop flowing,,#War"
15859,3,0,3,0,1,"RT @HitTehBlunt: *hits blunt*

""bruh if she tells me to go text my other hoes, but she's one of my hoes, do I keep texting her ?"" http://t.&#8230;"
25153,3,0,3,0,1,"wanna make a boss happy? &#128527;
bitch talk nasty. &#128540;"
894,3,0,3,0,1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Erotic | Erotic and wild tits and pussy fucking http://t.co/8HkC56j7c9"
16402,3,0,3,0,1,RT @KingElJay: Scorpio aka hoe season right around the corner.
5564,3,2,1,0,0,@_jeff_hank @lgreiner3 @RayceWarden @BigJohn_Studd shut up nigger
22597,3,1,2,0,1,This old bitch with floppy tits riding on the elevator with me is nerping so bad
24654,3,0,3,0,1,lil bitch thats down to make your bond aint got to tell her &#128175;&#128076;
61,3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said"""
665,3,0,2,1,1,"""you're being a cunt right now"" -@RQ978"
20722,3,0,3,0,1,"RT @versacecum: bitches be like ""&#9749;&#128056;"" but still be in everybody's business"
1542,3,0,3,0,1,&#8220;@Sam_James3: @khalilreed @aknadnrye don't get on bro http://t.co/qjJvynwQiO&#8221; when bae textin another nigger
3869,3,0,3,0,1,"@KassieHamilton @Ann_E_Lizabeth @erin_lehrer thanks kass I respect you. Not you Annie, you're a bitch."
15570,3,0,1,2,2,RT @FolllowEsteban: I think the Clips and Thunder would've gave the Heat a good as well...the East is just trash
1756,3,0,3,0,1,&#8220;@clzcdxx: im just a bitch ass elf&#8221; @MorbidMermaid
4347,3,0,0,3,2,"@NYDNSports @Yankees ugh , @Espo4710 put one 420 dead center off him @StFrancisNews"
9107,3,0,3,0,1,Drop dead gorgeous a bitch ain't dying for a nigga
22030,3,0,3,0,1,The hoes be rated E !
11795,3,0,3,0,1,"If I hold the door open for you, bitch you BETTA say thank you or imma slam the door in ya back."
15006,6,0,6,0,1,RT @Chayeezy: When a bitch got you fucked up but you devoted your life to the Lord so you gotta stand there like you aint mad http://t.co/7&#8230;
7013,3,0,3,0,1,@peighxo @baestation bitch got arms like piccolo
19743,3,0,3,0,1,"RT @jaimescudi_: Niggaaaaaa, why these bitches trip so hard over a nigga? When will they realize they're gonna grow up &amp; regret the fool?"
20056,3,1,2,0,1,RT @madisonbeck143: bitch you guessed it!
4061,3,0,0,3,2,"@Liveitupjersey @ccass357 don't trash Jersey...ODDS ARE..YOU WOULDN'T LAST 10 MINUTES AROUND HERE! 
Go back to watching BARNEY!"
3855,3,0,3,0,1,@KINGDOMMINDED__ @_lostb0y fuck off my pussy boi bitch
19414,3,0,2,1,1,"RT @fart: i just found out that ""marehood"" is code for ""horse pussy"" #brony #mlp http://t.co/ycQTmM3lid"
2100,3,0,3,0,1,"' I'm not gon ever be that niggah that hit 300 likes on every picture , but I get WHOEVER I WANT PERIOD . &#1041204;&#1043323;&#1041196;... http://t.co/mKgRljrHcl"
22862,3,1,2,0,1,Ungrateful bitches never happy how u not happy? What u mean u ain't happy? #youngjefe!
12743,3,0,3,0,1,"Like lex so fine she can have all my hoes, imma make my husband by her a Lamborghini"
3986,3,0,1,2,2,"@LILNTHEBASEDGOD her face ugly to me, &amp; her nudes were trash."
6464,3,1,2,0,1,@jordan536633 @heydenbunsyolo @bird_lovin shut yo cracker jack buck teeth ass Am a native and a nigga the best kind
17762,3,0,3,0,1,RT @Somaya_Reece: I am nice I am humble but I will still let a bitch know what's up! HUNNNNEY&#128133;&#128226;&#128226;&#128226;&#128226;&#128226;
22452,3,0,3,0,1,This bitch keep playin wit my hair like she dont got her own.
19459,3,0,2,1,1,RT @gabrielleheaton: I see the same hoes&#128064;
4092,3,0,1,2,2,@Lvl_7_Eevee @UnicornCowboy @hisorraya I just wanted brownies man
6162,3,0,3,0,1,"@gCan28 @JeremyWGR 

And then everyone bitches anyways. The guy can't win with the fans we have. We would run Revis out of here in his prime"
4107,3,0,3,0,1,"@MIKEB_IN_THE_D you don't want to battle, you shook cause ain't no such things as half way crooks ....bitch"
15169,3,1,2,0,1,RT @CuhCuhCuh: bitches who smoke cigs are disgusting cuh
1399,3,0,2,1,1,&#8220;@LayaFace: We out! Brooklyn bound wit this money. Feelin like Yung Jeezy in this bitch! &#128299;&#128299; http://t.co/TOq4bFWnzG&#8221; LMAOOOO
18910,3,0,3,0,1,RT @_twelvestarr: Niggas be catching attitudes and expect a bitch to beg plenty of sorry's to figure out what's his problem. NO
14654,3,0,0,3,2,RT @BasedChasen: Big 10 been trash for years now lol its a basketball conference now
22579,3,2,1,0,0,This nigga over here telling me he dont fuck with this bitch . When he do &#128553;&#128514;&#128514;. Or maybe she lying lol
13751,3,0,3,0,1,Nobody on planet Earth more protective than bull dykes
22502,3,0,3,0,1,This fat bitch turnt for some ice cream not gon lie I would be too https://t.co/E6FIiSiizW
15437,7,0,7,0,1,"RT @DvpeDreams: If her pussy got over 10 body counts, It's dead&#128128;. Pussies&#128049; only have 9 lives &#128514;"
19754,3,0,3,0,1,"RT @jarieVee_: 28. Basically, you can't be bold and be a hoe at the same time."
20791,3,1,2,0,1,RT @wrongwaybennett: Only Southerners know the difference between redneck and white trash.
15000,3,0,3,0,1,RT @CharlesBWaffle: These bitches lonely RT @1stName_Bravo Females in Michigan are like those seagulls from Finding Nemo when it comes to d&#8230;
18388,3,0,3,0,1,"RT @Vianka_V: Hoes, hoes ain't nothin' but hoes."
7324,3,0,3,0,1,@taylanicolexo you're just a pussy.
21188,3,0,3,0,1,"She just want her pussy ate, she ain't gon text u back afterwards RT @chaannyyyy: who wants to hang out&#128069;"
15701,3,0,3,0,1,RT @GermanSquidd__: These water challenges are retarded as fuck.
14157,3,0,3,0,1,Phone disconnected like a hoe :/ thank god for shmediums hot spot lol
23251,3,0,3,0,1,Where is @StephyRae7 ... I miss that bitch.
23112,3,0,3,0,1,What you gonna do if she cheat ? Cry ? Fight for her ? No kick that bitch out and go straight to tootsies
14704,3,0,3,0,1,RT @Beyond_Fatal: &#8220;@_1nonlykeisha: @Beyond_Fatal my bitch bruhhh !!!&#8221; My nigga my nigga &#128541;&#128540;&#128536;
21031,3,0,3,0,1,S/o to the homie @BlakkHoodie_562 niggah stay making bomb food when we high af
16793,3,0,0,3,2,RT @MeganCammalleri: Thank you to the Perkins student section for participating in the yellow out. We all really appreciated it!
19719,6,0,5,1,1,"RT @itscoleharmon_: s/o to all those girls who are curled up in a ball in their bed waiting for that goodnight text. go to sleep bitch, he &#8230;"
2425,3,0,3,0,1,"@AdamHarmon @JeffJeffAllen Yeah tht a bitch, we ain't gay Brah. Chill"
3076,3,0,3,0,1,@Deeiiggee hey bitch if your gonna talk shit tag me and quit being such a bitch how did I fuck up the car? Cause it won't hold air dumbass
6245,3,0,0,3,2,@haylebopp Diaval gets a pass by virtue of mostly being a bird.
12885,3,0,3,0,1,Lol @ me next time bitch
19638,3,0,3,0,1,"RT @iadorewomen_: ALL Relationships come w/ hatin ass hoes&#128589;, drama&#128074;, jealousy&#128530;, arguments&#128545;.. ALL THAT. Only REAL couples laugh at the shit &#8230;"
12780,3,0,0,3,2,Literally just got up and the first thing I did was chug a huge glass of water
21227,3,0,1,2,2,She's definitely a Kardashian bird RT @BasedChasen: http://t.co/RY3ocBwVTn
9832,3,0,3,0,1,"Grats to Haye, still a bitch though"
21275,3,0,0,3,2,Shut up birds it's bed time.
8726,3,0,3,0,1,"Cloud stay stealing peoples phrases first she takes jens by saying ""friend"" then she takes mine by saying ""my nigg"" get your own my nig dam"
8220,3,0,3,0,1,Believe it or not hoes get boring after awhile
6064,3,0,0,3,2,"@eGoTheIcoN those ""trash"" SnD stars would scrape ur team in SnD and most pro teams."
25028,3,0,3,0,1,the opening to Donatella inspires me to wake up and be the baddest bitch I know I can be every day thank you @ladygaga
23482,6,0,6,0,1,Wowwww this bitch is so ratchet holy crap
24128,3,0,3,0,1,bitch live a little.
20642,9,0,9,0,1,RT @titaaaR15: Dumb bitch
1626,3,0,0,3,2,"&#8220;@UTRagers: COLT MCCOY WINS&#8252;&#65039;
#HookEm&#128002;&#8221; he's still trash"
1007,3,0,3,0,1,"&#128514;&#128514;&#128514; RT@gxdlyvisuals: ""bitch i know you got games on your phone"" http://t.co/I2HyINFIdW"
9153,3,3,0,0,0,ESPN keep hiring these dyke bitches and gay Spanish niggas to talk sports
21355,6,1,4,1,1,Smh. Go play dreamcast RT @TheGoodfella_: Hate playing with someone at home on that trash ass default broadcast cam... 2K camera is the goat
4010,6,0,6,0,1,@Leelucas_ &#128514;&#128514;&#128514;&#128128;&#128128; alright nah bitch you want play on Twitter.
4215,3,0,3,0,1,@Midnight_Snacka @Nick_504_ wigga why the fuck r u in this conversation with yo stalking ass
15734,3,0,1,2,2,RT @GossipCop: Charlie Sheen SLAMS Rihanna For Rejecting His Fiancee: You&#8217;re A Rude &#8220;Idiot&#8221; With Bad Wig http://t.co/NChn9cRLCj
4986,3,0,2,1,1,@Tamela_X But a wannabe ghetto white girl will deal with an unaccomplished black man for more than sex.
6449,3,2,1,0,0,@jmellor432 fag
13800,3,0,3,0,1,"Notice I didn't tweet ""bytches"".... Bytch is different from bitch.... My logic... And it WERKS..."
2456,3,1,2,0,1,@AlfieHeydrich Seen a pic of nigs robbing a store. Caption said(protesting gos on in Fergerson). Lol. I don't like pigs either but wtf!
20352,6,0,0,6,2,RT @renz360: Got receipt ink on your soles? no problem. http://t.co/xYA7aLDUhU
15547,6,1,5,0,1,"RT @Fewjr: I don't trust nobody.&#128532;&#128076;

These bitches fake. &#128073;&#128131;

These niggas faker. &#128073;&#128694; 

So it's not ""fuck y'all"", I'd rather just not fuck wi&#8230;"
10725,3,0,3,0,1,I hate bitches with thick eyebrows
2058,3,0,3,0,1,"' Baby moanin.... Got me zone'nn , I want this bitch next too me.... Pussy like ecstasy &#1043291;&#1041185; ."
16851,3,0,3,0,1,"RT @MindCertified: If you're a hoe, don't expect princess treatment..."
16665,3,0,3,0,1,RT @Loyalboy_brown: Unt really fucking suck this year... Smh how did they get right back to trash in one season
24433,3,0,2,1,1,"hollywood, if you really want to break my heart make a movie about a handsome retarded man who is good at flash and has a mean girlfriend."
8484,3,0,3,0,1,But not prettier than Amber's. RT @YumiYoko: Her pussy is pretty
2457,3,2,1,0,0,@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.
3993,6,0,6,0,1,@LadyVodkax we're talking about fucking you right in the pussy
17969,3,0,3,0,1,RT @TaurusIsMagic: #Taurus's are the first to congratulate this years hoes for being smarter than last years hoes. You know who you are.
18302,9,0,9,0,1,RT @Tylar____: Man this hoe Heaven stay taking all day
2991,3,0,2,1,1,"@Cuner Makes you a pussy. Making stupid internet threats. You're a child and if it is about you which idk if it is, it's probably deserved."
17850,3,0,3,0,1,RT @StonerBoii2cold: I just wanna be drunk on stage going ham in that bitch @TreVaughnLG
15613,3,0,3,0,1,"RT @FriendlyAssh0le: bitches will argue with you for 30 mins and then be like ""you know what, i aint gonna argue with you""

bitch what???"
24294,3,0,3,0,1,every lady ain't no hoe but every lady sure ain't no queen
1339,3,0,3,0,1,&#8220;@IAm_Cream: &#128514;RT @DontGetGrandHoe: When y'all hoes going to learn how to spell&#8221; &#128588;&#128588;
22852,3,0,2,1,1,Uh. How long do I have till #Apple comes out with the newest incarnation of the #iphone?!? I'm so ready. Two years and this bitch still goes
18103,3,0,0,3,2,RT @TheOrlandoJones: Funny how people who take their fantasy sports leagues very seriously are celebrated while those who play D&amp;D are mock&#8230;
9978,3,0,2,1,1,He a hoe fa that RT @AC_Hussle: Incredible vagina is rarely ever attached to an incredible woman. God has a weird sense of humor.
660,3,0,3,0,1,"""whatever you are, be a good one."" -Abraham Lincoln, this quote is not for yall hoes!"
7140,3,0,2,1,1,@rowboy_quest promotion that's hoe ya do it http://t.co/Tpnmbd6z
18185,9,0,9,0,1,"RT @Tiny2YouHoes: but naawww though, y'all hoes is fu don't fucking play w/me."
2208,3,2,1,0,0,",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga"
17968,3,0,3,0,1,"RT @TaughtYouWell: Boobs boobs boobs boobs lotta boobs
Man I make the baddest bitches send me nudes &#128525;&#128539; http://t.co/6tzYXgvqZv"
6115,3,0,3,0,1,"@esn_Josh @esn_Waves @ESN_Creeper @GT_Parthenon bitch please, are you trying to say I was closer to Philly than you"
16640,3,0,3,0,1,RT @LosBeOnIt: Anyone and everyone can have my ex. Fuck that hoe.
14796,3,0,3,0,1,RT @BoujieAssMeena: My bitches got pretty pussy&#128516;&#128516;&#128516;&#128540;&#128540;&#128540;
8195,3,0,3,0,1,"Because at your local insurance agency, the customer is ALWAYS our bitch. #itakeshitfromnoone &#128079;"
21503,3,0,3,0,1,Some people are bitch ass niggas &amp; you should just stay far away from
10296,3,0,3,0,1,I am not your side bitch no more.
5691,3,0,1,2,2,@ariennajanee its mutual my lil yellow bone&#127827;
9574,3,0,3,0,1,Fucked up when a freak hoe tell you ya posed to be homeboy was pillow talking too .. #FukNiccas
12555,3,2,1,0,0,"Kip Tokuda, yellow guy working to niggerize the Seattle PD, died. Too bad there's another POS hiding in the wings to replace him."
22143,3,0,0,3,2,There is a trash bag in my hall thats been there for like 2 wks. Weird thing: it changes consistency every few days
18799,6,0,6,0,1,"RT @___Jazsy: If a bitch tweeting about a nigga and he saying he don't mess with her , He's lying&#128533; That bitch ain't tweeting for nothing &#128527;"
21715,6,0,6,0,1,Switcheroo on yo main bitch me and my nigga hell naw we don't date hoes
11092,3,0,3,0,1,I ont like no dramatic bitch so I just separate myself n shit
12598,3,0,3,0,1,LMaoooo. .. &#171;@IGiveEmNathan Gucci really ass but for some hoes I'll bump a couple songs&#187;
22162,3,0,3,0,1,There's like 5 injuries a game in football.. Shit trash lol
5084,3,0,3,0,1,"@TheMayorMatt pitch, chip and slide ur dick in tight clam #22 love it #mywife"
16597,3,3,0,0,0,RT @Lil_A47: @Vonteeeeee typical coon activity
1630,3,0,3,0,1,&#8220;@Untouchable_T: Ion care about none of these bitches&#8221;&#128175;&#128175;&#128175;
18475,3,0,3,0,1,"RT @WifiAndPorn: The fuck? RT @llAboutBenji: I asked this bitch if she was having a good day, and the bitch said ""stop being weird"" im conf&#8230;"
16818,3,0,3,0,1,RT @MichalaSmith4: shout out to the faggots who took a million and one selfies on my phone. &#128530;&#128514;&#10084;&#65039; @zzachbarness @michealallen72 http://t.co/&#8230;
18839,3,0,3,0,1,RT @_ayejayydoe: This hoe never called me like she said @UglyAssAyeKay
13782,3,1,0,2,2,Not really sure how to describe what's happening here #eurotrash @mguiducci @nickbrown85 @ VIP Room http://t.co/WTS6nM3egc
226,3,0,3,0,1,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
2334,3,0,3,0,1,@ me bitch
6471,3,0,3,0,1,@joshkline1992 that's my nig nog
22312,3,0,3,0,1,These ratchet hoes are something else this school smells like a fucking zoo
20821,3,0,3,0,1,RT @xfleezus: cant turn a hoe into a housewife.
21637,3,0,3,0,1,"Stop snitching faggot &#8220;@OGSITTI: ""I'll snap you a nude but promise you won't screenshot""

""Don't worry baby I won't"" http://t.co/J8jDIC3wvg&#8221;"
21312,3,0,3,0,1,Single like a dollar fucking bitches like im slater ..AWW MANE!
693,3,3,0,0,0,#California is full of white trash
9084,3,0,0,3,2,Double Stuff Oreos mane say
2693,3,1,2,0,1,@BlakkHoodie_562 fosho my niggah il be over there just been real busy lately
14769,3,1,0,2,2,RT @Blessedyaszay: #IWantToPunchPeopleWho mock God
23381,3,0,3,0,1,"Why the most Ratchet bitches be talkin shit? Y'all got nothing better to do but talk shit, pick up the liq, and hop on a dick."
11220,3,1,2,0,1,I take a bitch home give her long dick
14603,3,0,3,0,1,RT @BCniggas: I know plenty of hoes in love with they niggas but it be the same bitch fuckin niggas
8647,3,0,2,1,1,Charles was eatin trash ass Dominoes in that pic...you know he was still poor at the time lol
6983,3,0,3,0,1,@ohVixen @iBaneXx You gotta respect a bitch before she let's you put your entire arm in her vagina.
2279,6,1,4,1,1,2 year starting on me on the street... so i put a fag out on him. #funnyguy
4308,3,1,2,0,1,"@MrMooncricket oh hell no! Fuck you Uncle Tom bitch, I remember yo punk broke ass"
8601,3,0,3,0,1,Can't wait to put this down payment on my bitch
22716,3,1,2,0,1,Took a broke bitch nigga&#128520;
18060,3,0,0,3,2,"RT @TheEagleFazi: Almost 83% of children in Balochistan have never been to school, followed by 80% in Sindh, 75% in KP and 60% in Punjab. #&#8230;"
17064,3,0,3,0,1,RT @NoHoesNextDoor: Mimi so proud to be a hoe
4170,3,0,3,0,1,@Matt_Schiffer @TCOBryce nah its bc I'm a bad bitch
10371,3,0,0,3,2,I can hear the birds chirpin!
1573,3,1,2,0,1,&#8220;@THQcheerios: &#8220;@TropicalBlanket: &#128522; http://t.co/YWj1I0wMa9&#8221; go to sleep bitch&#8221;stfu
23266,3,0,1,2,2,Where's the part where Fat Amy goes err wop wobn wefo? #thingspeoplesay @FatAmyPost
19407,3,0,3,0,1,RT @exlibris: I have an embarrassment of bitches
25287,3,0,3,0,1,you really care bout dis bitch. my dick all in yo feelings
17448,3,0,3,0,1,RT @RealJohnBrannon: check it out you gotta vodka soda &amp; a lemon on the bottom of that bitch ? thats cool
4204,3,0,3,0,1,@MichaelGT03 little bitch
6125,3,0,3,0,1,@fabbymichelle your one of my bitches you make money for me !
22258,3,0,3,0,1,These hoes get thick n fat confused way more than often!!!!!!!!
7826,3,0,3,0,1,All the bad bitches think they ugly and all the roach bitches think they bad-_-
16925,3,0,0,3,2,"RT @MsKeeKee90s: @t_ndyy haha Oreo lol. Well I gota do dee's video for his dance soon, I can show you how to use equipment and that x"
19217,3,0,0,3,2,"RT @cpabry: Curious George, the curious little monkey or deranged serial cat killer? The story the man with the yellow hat doesn't want you&#8230;"
209,3,0,3,0,1,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK"""
1881,3,0,3,0,1,&#8220;@lopezbrittaney: How do you have a beautiful female and still find a way to fuck w/ ratchet hoes.. I don't get it&#8221; &#128079;&#128079;&#128588;&#128075;&#128588;
2675,3,0,3,0,1,@BittyTang yes. Why protest about sexism then go right home and beg for a guy to beat your pussy up? Im lost at times
10658,3,0,3,0,1,I got some bitch ass coworkers. I stay late every day last week I don't complain about them mfs. They stay late they send emails that I left
5990,3,0,3,0,1,@dbro800 pussy you can't fight &#128564;
2736,3,0,0,3,2,"@Brelston I realized it's the one on Link's Awakening too, so you killed two birds with one stone. Unless you're getting the Wind Fish too."
22359,3,0,3,0,1,They updated Wukong's new splash so it doesn't look so fucking retarded
8975,3,0,3,0,1,Didn't know Alberta had Brampton bitches #flourish
14255,3,0,3,0,1,Procrastination is really a bitch.
15412,3,2,0,1,0,RT @Drizz_LakerKing: Horrible RT @YeIIowbang: Invader Zim was trash
10087,3,0,3,0,1,"High then a hoe, hitting this bowl for my nigga Rick! #RIPRick"
3769,3,0,3,0,1,"@Joan_Rivers Bitch you old ass mushroom ass bitch looking like a moldy ass toe wobbly raggedy ass vagina face BYE

http://t.co/LTi96AZjwk"
10783,3,1,2,0,1,"I hate when girls say ""forever alone"" like shut up your ""forever a hoe"" not forever alone so shut up before I get your dick breath on me"
5806,3,0,0,3,2,@boxingscene @RPopBox @BronzeBomber @boxing this Charlie Z really does need mental help check this out http://t.co/CkBS6WcZu1
24607,3,0,3,0,1,"it's been ten mins, bitch I gave you a 2 min assignment lmfaooooo"
13326,3,1,2,0,1,My cats a bitch niggah.
977,3,0,3,0,1,&#128119;&#128119; you needa stop sucking dick hoe &#128514;&#128514;
5198,3,0,3,0,1,"@TrueEnoughEhh lol 100, it had to be one of my old bitches &#128530;"
20258,6,1,2,3,2,RT @pambesteder: **WOW* according to this tweet by @Tarascan68 Obama must have been an Uncle Tom? http://t.co/Klcsgy9JPW
9091,3,0,3,0,1,Drake gets the bitches
16053,3,0,3,0,1,RT @Itsyesie: Like damn. Sorry I'm not a girl that hoes around and has sex with 20 billion guys.
302,3,0,3,0,1,"""@_iwantfranny: He's a hoe , I can't"""
13932,3,0,3,0,1,Omfg. The crazy bitch is here&#128557;&#128584;
3019,6,1,5,0,1,@Daa_Boy_Rell @sluttyboy_kush @keem_Escobar you. A bitch too
22122,3,1,2,0,1,Them squirrels are faggots b RT @80sbaby4life #ThreesomeThursdays ? http://t.co/7xWOp3y2
22153,3,0,0,3,2,There's a bird nest in my garage and so now when the birds fly out they poop on my car. &#128529;
21134,3,0,0,3,2,"Seriously, reading 'thriller' like books spook me more than most horror movies. 
#bookgeek"
8361,3,0,0,3,2,Boston's Jihadi Nest and Student Arm of the Muslim Brotherhood &#187; Joe For America http://t.co/4IfJwoeSDR via @RealJTP
24507,3,0,3,0,1,i think im addicted to naked pictures an sittin talkin bout bitches we almost had
11880,3,0,3,0,1,If the world was free of sucka free it would be just me and my nigs left
2722,3,0,3,0,1,@Bossman_Carl nigga I didn't have no change.yall some hoes for Tryna shoot know y'all can't shoot
4109,3,1,2,0,1,@MIKEYMIKEROWAVE @SNEAKERLUKE @wojtata @JoeCushKush yeah I like them too but Im not annoying ass bitch about it. Support them but dont bitch
2101,3,0,2,1,1,' I'm that niggah you can show out in public babbbbbbyyyy &#1041191;&#1043215; lol
5241,3,2,1,0,0,@Vexda go jerk off to lollis faggot.
7322,6,0,6,0,1,@tayisbaee those hoes aint loyal
15326,3,0,3,0,1,RT @DeepInHerGut: Anything said bout my moms b would of led to a bitch getting stone cold stunner
9659,6,0,5,1,1,Get on your shit hoe.
24905,3,0,3,0,1,"sarcastic cunt, yes"
2850,3,0,1,2,2,"@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat."
679,6,0,6,0,1,"#BOB Bass over bitches @HankJohnson11 bitches on his dick, fishes on the dock"
14808,3,0,0,3,2,"RT @BrandonTierney: Crooked number followed by shut down frame, love it. #Yankees"
16114,3,1,2,0,1,"RT @JamesYouCunt: I'm on my straight Grizzly so why would I buy you a gay ass teddy bear, bitch? You're already bi-polar! http://t.co/4ZsXC&#8230;"
3261,3,0,3,0,1,@FlawlesS_Dv dont be a bitch smh
3976,3,0,3,0,1,@KxRxSxB haha alright well you gotta get here and see this bitch haha you'll scare the shit outta him I already have
19737,3,0,3,0,1,RT @jackiengvyen: All talk blahblah bye bitch
9414,3,1,2,0,1,"For instance...Nikki said BET you won't fight her. I said bet? She said bet. Whipped a quick u-turn, whooped that ass, and went to jail &#128514;"
13495,3,0,0,3,2,NEVERMIND I FOUND THEM. ...in the trash...
20080,3,0,3,0,1,RT @maya_hampton: @whateverduuude ily ur a bad bitch
20370,3,1,2,0,1,"RT @roach_nigga: yall niggas think i just hang around your crib doing nothing, bitch i be getting bread too http://t.co/6jo2sayr96"
11129,3,0,3,0,1,I refuse to raise a child in this bitch ass country.
4772,3,0,3,0,1,@SammySkinner hey nig
20216,3,0,3,0,1,RT @obey_jrock__: This is a true ride or die bitch &#128175; http://t.co/y1t8CTQn4U
2873,3,0,3,0,1,@Cee_Murda94 bitch bye you can't get it
21490,3,0,3,0,1,Some of the ice melted in my car cause the dumb fuck at 7/11 decided he wanted to strike up a conversation wit a fat ugly bitch smfh
2254,3,0,3,0,1,100 days til Christmas bitches
21281,3,0,3,0,1,Shut up hoe
287,3,0,0,3,2,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
21041,3,2,1,0,0,STFU BORIS FAGJO! RT @Maxin_Betha Cause he a faggot!! Makes sense now right?? RT @ChannyMaraj Bran prolly real nurturing lol
6408,3,1,2,0,1,@jayswaggkillah is a fag
13647,3,2,1,0,0,Niggas be in they feelings when they find out their hoe fuckin another nigga #StopSavinTheseHoes
7565,3,0,3,0,1,@yelafox @_saharbabyy because hoes disguise themselves as real women
4278,3,2,1,0,0,@MorbidMermaid I swear to god nigger you better still hang with me before work. You got my hype
21657,3,0,3,0,1,Stupid bitch &#128545;
8623,3,0,3,0,1,Catch up with the Lingo itty bitty bitch
6573,3,0,3,0,1,"@kenzystuart1 Hey, that guy has the same first name that I do! What a fag."
